1.95741 	 0.49762 	 1851.96892 
2.39752 	 3.87814 	 729.08252 
2.28861 	 4.46743 	 797.46260 
0.13898 	 2.60396 	 8385.26297 
3.37026 	 2.75620 	 741.21789 
1.34516 	 6.27016 	 747.55356 
1.70088 	 4.62301 	 724.17330 
4.80897 	 3.75745 	 732.34243 
2.40183 	 4.27923 	 748.40922 
3.31203 	 1.96601 	 723.11054 
4.55534 	 2.60207 	 739.79580 
2.65967 	 3.75817 	 804.48834 
2.15110 	 3.56367 	 751.08513 
1.88694 	 1.49934 	 921.97120 
1.87457 	 3.25194 	 792.76168 
2.10129 	 5.18814 	 796.77950 
1.48789 	 0.88362 	 1310.28002 
2.26072 	 1.11375 	 918.12250 
2.55207 	 1.78447 	 796.71610 
1.82588 	 5.12083 	 801.68433 
2.64985 	 3.58979 	 788.06993 
4.81855 	 3.57569 	 721.49220 
1.16674 	 2.46387 	 858.73619 
0.17247 	 6.63506 	 1528.47897 
1.65572 	 3.78643 	 793.57890 
3.46115 	 5.73498 	 749.75783 
2.53960 	 0.54211 	 1276.16906 
3.48246 	 2.14498 	 746.56126 
1.77034 	 1.73627 	 845.25224 
2.39003 	 6.49926 	 725.35430 
3.13637 	 4.43652 	 754.99448 
0.88315 	 4.10035 	 763.87613 
2.00203 	 4.02149 	 758.67332 
0.61484 	 1.77689 	 1601.72759 
1.93179 	 4.19112 	 682.74134 
2.65893 	 2.97174 	 748.37482 
2.54861 	 7.04454 	 760.53108 
2.00693 	 4.30504 	 731.98927 
1.39436 	 2.90463 	 830.12735 
1.41991 	 1.74415 	 930.44292 
1.88291 	 4.17561 	 767.57742 
5.09395 	 6.17266 	 743.58398 
3.57984 	 5.30528 	 721.62887 
2.73453 	 2.78556 	 750.38409 
1.60180 	 2.53351 	 819.31229 
3.74771 	 2.89941 	 720.60911 
3.74670 	 2.79911 	 719.22804 
1.11103 	 3.80763 	 811.30846 
2.89151 	 4.16899 	 775.42785 
3.83723 	 4.36117 	 772.66810 
4.54379 	 2.54019 	 759.51560 
4.37009 	 3.43948 	 793.62094 
1.76359 	 5.47607 	 716.79491 
2.98586 	 1.23007 	 831.15300 
2.12474 	 1.25875 	 878.15447 
2.20074 	 5.34199 	 754.11398 
2.19028 	 0.86469 	 1049.98659 
2.13141 	 3.13583 	 789.72484 
1.80555 	 3.17726 	 808.92095 
4.97710 	 3.34238 	 708.40137 
4.01914 	 2.00673 	 816.24375 
1.91607 	 3.54907 	 769.25389 
1.56884 	 5.87910 	 768.67709 
3.62829 	 2.69013 	 742.07257 
1.05836 	 2.66771 	 817.58596 
4.12401 	 1.98069 	 760.09139 
